Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA213,    52.6279,   -35.72,    52.6278,  -155.72,    52.6277,    84.28,          0,     0.00, 0.000353566,   -30.68,    52.6284,   144.28,    52.6283,    24.28,    52.6282,   -95.72,          0,     0.00, 0.000338809,   149.32
Line.LINHA214,    52.6284,   -35.72,    52.6283,  -155.72,    52.6282,    84.28,          0,     0.00, 0.000338809,   -30.68,    52.6288,   144.28,    52.6288,    24.28,    52.6287,   -95.72,          0,     0.00, 0.000324054,   149.32
Line.LINHA215,    52.6288,   -35.72,    52.6288,  -155.72,    52.6287,    84.28,          0,     0.00, 0.000324054,   -30.68,    52.6293,   144.28,    52.6293,    24.28,    52.6291,   -95.72,          0,     0.00, 0.000309302,   149.32
Line.LINHA216,    52.6293,   -35.72,    52.6293,  -155.72,    52.6291,    84.28,          0,     0.00, 0.000309302,   -30.68,    52.6298,   144.28,    52.6298,    24.28,    52.6296,   -95.72,          0,     0.00, 0.000294552,   149.32
Line.LINHA217,    52.6298,   -35.72,    52.6298,  -155.72,    52.6296,    84.28,          0,     0.00, 0.000294551,   -30.68,    52.6303,   144.28,    52.6303,    24.28,    52.6301,   -95.72,          0,     0.00, 0.000279804,   149.32
Line.LINHA218,    51.9862,   -35.81,    51.9862,  -155.81,     51.986,    84.19,          0,     0.00, 0.000279804,   -30.68,    51.9867,   144.19,    51.9867,    24.19,    51.9865,   -95.81,          0,     0.00, 0.000265059,   149.32
Line.LINHA219,    51.9867,   -35.81,    51.9867,  -155.81,    51.9865,    84.19,          0,     0.00, 0.000265059,   -30.68,    51.9871,   144.19,    51.9872,    24.19,     51.987,   -95.81,          0,     0.00, 0.000250316,   149.32
Line.LINHA220,    51.9871,   -35.81,    51.9872,  -155.81,     51.987,    84.19,          0,     0.00, 0.000250316,   -30.68,    51.9876,   144.19,    51.9876,    24.19,    51.9875,   -95.81,          0,     0.00, 0.000235576,   149.32
Line.LINHA221,    51.9876,   -35.81,    51.9876,  -155.81,    51.9875,    84.19,          0,     0.00, 0.000235576,   -30.68,    51.9881,   144.19,    51.9881,    24.19,     51.988,   -95.81,          0,     0.00, 0.000220838,   149.32
Line.LINHA222,    51.9881,   -35.81,    51.9881,  -155.81,     51.988,    84.19,          0,     0.00, 0.000220838,   -30.68,    51.9886,   144.19,    51.9886,    24.19,    51.9885,   -95.81,          0,     0.00, 0.000206102,   149.32
Line.LINHA223,    51.9886,   -35.81,    51.9886,  -155.81,    51.9885,    84.19,          0,     0.00, 0.000206102,   -30.68,    51.9891,   144.19,    51.9891,    24.19,    51.9889,   -95.81,          0,     0.00, 0.000191369,   149.32
Line.LINHA224,    51.9891,   -35.81,    51.9891,  -155.81,    51.9889,    84.19,          0,     0.00, 0.000191369,   -30.68,    51.9895,   144.19,    51.9896,    24.19,    51.9894,   -95.81,          0,     0.00, 0.000176639,   149.32
Line.LINHA225,    51.9895,   -35.81,    51.9896,  -155.81,    51.9894,    84.19,          0,     0.00, 0.000176639,   -30.68,      51.99,   144.19,    51.9901,    24.19,    51.9899,   -95.81,          0,     0.00, 0.00016191,   149.32
Line.LINHA226,      51.99,   -35.81,    51.9901,  -155.81,    51.9899,    84.19,          0,     0.00, 0.000161911,   -30.68,    51.9905,   144.19,    51.9906,    24.19,    51.9904,   -95.81,          0,     0.00, 0.000147185,   149.32
Line.LINHA227,    51.9905,   -35.81,    51.9906,  -155.81,    51.9904,    84.19,          0,     0.00, 0.000147185,   -30.68,     51.991,   144.19,     51.991,    24.19,    51.9909,   -95.81,          0,     0.00, 0.000132462,   149.32
Line.LINHA228,     51.991,   -35.81,     51.991,  -155.81,    51.9909,    84.19,          0,     0.00, 0.000132461,   -30.68,    51.9914,   144.18,    51.9915,    24.18,    51.9914,   -95.82,          0,     0.00, 0.00011774,   149.32
Line.LINHA229,    51.9914,   -35.82,    51.9915,  -155.82,    51.9914,    84.18,          0,     0.00, 0.00011774,   -30.68,    51.9919,   144.18,     51.992,    24.18,    51.9918,   -95.82,          0,     0.00, 0.000103022,   149.32
