Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2261B", 0.22, 1,    124.004,  -30.6,   0.97628, 2,    124.005, -150.6,   0.97628, 3,    124.006,   89.4,   0.97629
"2269B", 0.22, 1,    123.991,  -30.6,   0.97618, 2,    123.992, -150.6,   0.97618, 3,    123.993,   89.4,   0.97619
"2274B", 0.22, 1,    123.989,  -30.6,   0.97616, 2,     123.99, -150.6,   0.97617, 3,    123.991,   89.4,   0.97617
"2279B", 0.22, 1,    123.982,  -30.6,   0.97611, 2,    123.983, -150.6,   0.97611, 3,    123.984,   89.4,   0.97612
"2286B", 0.22, 1,    123.975,  -30.6,   0.97605, 2,    123.976, -150.6,   0.97606, 3,    123.977,   89.4,   0.97607
"2288B", 0.22, 1,    123.975,  -30.6,   0.97605, 2,    123.975, -150.6,   0.97605, 3,    123.976,   89.4,   0.97606
"2290B", 0.22, 1,    123.977,  -30.6,   0.97606, 2,    123.977, -150.6,   0.97607, 3,    123.978,   89.4,   0.97608
"2294B", 0.22, 1,    123.974,  -30.6,   0.97604, 2,    123.975, -150.6,   0.97605, 3,    123.976,   89.4,   0.97606
"2296B", 0.22, 1,    123.974,  -30.6,   0.97605, 2,    123.975, -150.6,   0.97605, 3,    123.976,   89.4,   0.97606
"2304B", 0.22, 1,    123.948,  -30.7,   0.97584, 2,    123.948, -150.7,   0.97584, 3,    123.949,   89.3,   0.97585
"2306B", 0.22, 1,    123.949,  -30.7,   0.97584, 2,    123.949, -150.7,   0.97585, 3,     123.95,   89.3,   0.97585
"2314B", 0.22, 1,    123.943,  -30.7,    0.9758, 2,    123.943, -150.7,    0.9758, 3,    123.944,   89.3,   0.97581
"2318B", 0.22, 1,     123.94,  -30.7,   0.97577, 2,     123.94, -150.7,   0.97578, 3,    123.941,   89.3,   0.97578
"2323B", 0.22, 1,     123.95,  -30.7,   0.97586, 2,    123.951, -150.7,   0.97586, 3,    123.952,   89.3,   0.97587
"2327B", 0.22, 1,    123.921,  -30.7,   0.97563, 2,    123.922, -150.7,   0.97563, 3,    123.923,   89.3,   0.97564
"2332B", 0.22, 1,    123.908,  -30.7,   0.97552, 2,    123.908, -150.7,   0.97552, 3,    123.909,   89.3,   0.97553
"2337B", 0.22, 1,    124.384,  -30.4,   0.97927, 2,    124.385, -150.4,   0.97928, 3,    124.386,   89.6,   0.97929
"2342B", 0.22, 1,      123.9,  -30.7,   0.97546, 2,      123.9, -150.7,   0.97546, 3,    123.901,   89.3,   0.97547
"2347B", 0.22, 1,    123.899,  -30.7,   0.97545, 2,    123.899, -150.7,   0.97545, 3,      123.9,   89.3,   0.97546
"2352B", 13.8, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"2353B", 0.22, 1,    123.901,  -30.7,   0.97546, 2,    123.901, -150.7,   0.97547, 3,    123.902,   89.3,   0.97548
"2354B", 0.22, 1,    124.287,  -30.4,   0.97851, 2,    124.288, -150.4,   0.97851, 3,    124.289,   89.6,   0.97852
"2360B", 0.22, 1,    124.286,  -30.4,    0.9785, 2,    124.287, -150.4,   0.97851, 3,    124.288,   89.6,   0.97851
"2012", 13.8, 1,    7925.46,   -0.1,   0.99473, 2,    7925.49, -120.1,   0.99474, 3,    7925.49,  119.9,   0.99474
"2018", 13.8, 1,    7916.37,   -0.1,   0.99359, 2,    7916.41, -120.1,    0.9936, 3,     7916.4,  119.9,   0.99359
"2030", 13.8, 1,    7900.91,   -0.1,   0.99165, 2,    7900.96, -120.1,   0.99166, 3,    7900.95,  119.9,   0.99166
"2044", 13.8, 1,    7914.04,   -0.1,    0.9933, 2,    7914.08, -120.1,    0.9933, 3,    7914.08,  119.9,    0.9933
"2057", 13.8, 1,    7909.31,   -0.1,   0.99271, 2,    7909.36, -120.1,   0.99271, 3,    7909.35,  119.9,   0.99271
"2061", 13.8, 1,    7909.31,   -0.1,   0.99271, 2,    7909.36, -120.1,   0.99271, 3,    7909.35,  119.9,   0.99271
"2065", 13.8, 1,     7904.6,   -0.1,   0.99211, 2,    7904.65, -120.1,   0.99212, 3,    7904.65,  119.9,   0.99212
"2071", 13.8, 1,    7898.62,   -0.1,   0.99136, 2,    7898.68, -120.1,   0.99137, 3,    7898.67,  119.9,   0.99137
"2076", 13.8, 1,    7898.54,   -0.1,   0.99135, 2,     7898.6, -120.1,   0.99136, 3,    7898.59,  119.9,   0.99136
"2088", 13.8, 1,    7894.89,   -0.1,    0.9909, 2,    7894.95, -120.1,    0.9909, 3,    7894.94,  119.9,    0.9909
"2091", 13.8, 1,    7894.84,   -0.1,   0.99089, 2,     7894.9, -120.1,    0.9909, 3,    7894.89,  119.9,    0.9909
"2097", 13.8, 1,    7891.79,   -0.1,   0.99051, 2,    7891.85, -120.1,   0.99051, 3,    7891.84,  119.9,   0.99051
"2098", 13.8, 1,    7890.74,   -0.1,   0.99037, 2,     7890.8, -120.1,   0.99038, 3,    7890.79,  119.9,   0.99038
"2106", 13.8, 1,    7889.54,   -0.1,   0.99022, 2,    7889.61, -120.1,   0.99023, 3,     7889.6,  119.9,   0.99023
"2113", 13.8, 1,    7886.39,   -0.1,   0.98983, 2,    7886.46, -120.1,   0.98984, 3,    7886.45,  119.9,   0.98984
