Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Transformer.T80,    4.49053,   -26.77,    4.49065,  -146.77,    4.49061,    93.23,          0,     0.00, 2.03186E-011,    35.36,    275.692,   125.21,    275.694,     5.21,      275.7,  -114.79,  0.0006607,    78.62, 1.23705E-011,  -126.03
Transformer.T81,    2.69397,   -26.76,    2.69404,  -146.76,    2.69402,    93.24,          0,     0.00, 1.22139E-011,    35.41,    165.394,   125.21,    165.396,     5.21,    165.399,  -114.79,  0.0003972,    78.63, 7.62634E-012,  -116.57
Transformer.T1000,    2.69459,   -26.76,    2.69467,  -146.76,    2.69465,    93.24,          0,     0.00, 1.21323E-011,    35.27,    165.433,   125.22,    165.434,     5.22,    165.438,  -114.78, 0.000394418,    78.64, 6.18523E-012,  -126.03
Transformer.T10001,    2.69289,   -26.76,    2.69296,  -146.76,    2.69294,    93.24,          0,     0.00, 1.23594E-011,    35.33,    165.328,   125.21,    165.329,     5.21,    165.333,  -114.79, 0.000401984,    78.63, 7.22605E-012,  -114.15
Transformer.T10002,     2.6921,   -26.76,    2.69217,  -146.76,    2.69215,    93.24,          0,     0.00, 1.24502E-011,    35.36,    165.279,   125.21,    165.281,     5.21,    165.284,  -114.79, 0.000405554,    78.64, 7.5685E-012,  -122.74
Transformer.T10003,    1.37032,   -28.00,    1.37032,  -148.00,    1.37032,    92.00,          0,     0.00, 1.25076E-011,    35.39,    82.2316,   125.91,     82.231,     5.92,    82.2294,  -114.09, 0.00385441,   -99.95, 6.9965E-011,    64.18
Transformer.T10004,    1.37032,   -28.00,    1.37032,  -148.00,    1.37032,    92.00,          0,     0.00, 1.25076E-011,    35.39,    82.2316,   125.91,     82.231,     5.92,    82.2294,  -114.09, 0.00385441,   -99.95, 6.9965E-011,    64.18
Transformer.T10005,    2.69163,   -26.76,     2.6917,  -146.76,    2.69168,    93.23,          0,     0.00, 1.25209E-011,    35.31,     165.25,   125.21,    165.252,     5.21,    165.255,  -114.79, 0.000407636,    78.64, 7.12155E-012,  -106.70
Transformer.T10006,    2.69158,   -26.76,    2.69165,  -146.76,    2.69163,    93.23,          0,     0.00, 1.2527E-011,    35.35,    165.247,   125.21,    165.249,     5.21,    165.252,  -114.79, 0.00040786,    78.64, 6.71426E-012,  -118.30
Transformer.T10009,    2.69168,   -26.76,    2.69175,  -146.76,    2.69173,    93.23,          0,     0.00, 1.25171E-011,    35.34,    165.254,   125.21,    165.255,     5.21,    165.258,  -114.79, 0.000407425,    78.64, 7.22605E-012,  -114.15
Transformer.T100091,    1.63502,   -27.49,    1.63503,  -147.49,    1.63502,    92.51,          0,     0.00, 1.2527E-011,    35.35,    98.8774,   125.78,    98.8767,     5.78,    98.8747,  -114.22, 0.00464946,  -100.22, 8.40954E-011,    63.85
Transformer.T1000912,    1.63504,   -27.49,    1.63505,  -147.49,    1.63504,    92.51,          0,     0.00, 1.25332E-011,    35.39,    98.8786,   125.78,    98.8779,     5.78,     98.876,  -114.22,  0.0046514,  -100.22, 8.48137E-011,    64.26
Line.LINHA200,    132.351,   -26.64,     132.35,  -146.64,     132.35,    93.36,          0,     0.00, 0.00532513,   -30.88,    132.352,   153.36,    132.352,    33.36,    132.351,   -86.64,          0,     0.00, 0.00527574,   149.12
Line.LINHA201,    132.352,   -26.64,    132.352,  -146.64,    132.351,    93.36,          0,     0.00, 0.00527574,   -30.88,    132.353,   153.36,    132.352,    33.36,    132.352,   -86.64,          0,     0.00, 0.00526094,   149.11
Line.LINHA202,    132.353,   -26.64,    132.352,  -146.64,    132.352,    93.36,          0,     0.00, 0.00526094,   -30.89,    132.353,   153.36,    132.352,    33.36,    132.352,   -86.64,          0,     0.00, 0.00524614,   149.11
Line.LINHA203,    132.353,   -26.64,    132.352,  -146.64,    132.352,    93.36,          0,     0.00, 0.00524614,   -30.89,    132.353,   153.36,    132.353,    33.36,    132.352,   -86.64,          0,     0.00, 0.00524417,   149.11
Line.LINHA204,    132.353,   -26.64,    132.353,  -146.64,    132.352,    93.36,          0,     0.00, 0.00524417,   -30.89,    132.354,   153.36,    132.353,    33.36,    132.353,   -86.64,          0,     0.00, 0.00522938,   149.11
Line.LINHA205,    132.354,   -26.64,    132.353,  -146.64,    132.353,    93.36,          0,     0.00, 0.00522938,   -30.89,    132.354,   153.36,    132.353,    33.36,    132.353,   -86.64,          0,     0.00,  0.0052146,   149.11
Line.LINHA206,    132.354,   -26.64,    132.353,  -146.64,    132.353,    93.36,          0,     0.00,  0.0052146,   -30.89,    132.354,   153.36,    132.354,    33.36,    132.353,   -86.64,          0,     0.00, 0.00519982,   149.11
Line.LINHA207,    132.354,   -26.64,    132.354,  -146.64,    132.353,    93.36,          0,     0.00, 0.00519982,   -30.89,    132.355,   153.36,    132.354,    33.36,    132.354,   -86.64,          0,     0.00, 0.00518505,   149.11
Line.LINHA208,    132.355,   -26.64,    132.354,  -146.64,    132.354,    93.36,          0,     0.00, 0.00518505,   -30.89,    132.355,   153.36,    132.354,    33.36,    132.354,   -86.64,          0,     0.00, 0.00517028,   149.11
Line.LINHA209,    132.355,   -26.64,    132.354,  -146.64,    132.354,    93.36,          0,     0.00, 0.00517028,   -30.89,    132.355,   153.36,    132.355,    33.36,    132.354,   -86.64,          0,     0.00, 0.00515552,   149.11
Line.LINHA210,    132.355,   -26.64,    132.355,  -146.64,    132.354,    93.36,          0,     0.00, 0.00515552,   -30.89,    132.356,   153.36,    132.355,    33.36,    132.355,   -86.65,          0,     0.00, 0.00514077,   149.11
Line.LINHA211,    132.356,   -26.64,    132.355,  -146.64,    132.355,    93.35,          0,     0.00, 0.00514077,   -30.89,    132.356,   153.36,    132.356,    33.36,    132.355,   -86.65,          0,     0.00, 0.00512602,   149.11
Line.LINHA212,    130.773,   -26.65,    130.773,  -146.64,    130.772,    93.35,          0,     0.00, 0.00512602,   -30.89,    130.774,   153.35,    130.773,    33.36,    130.773,   -86.65,          0,     0.00, 0.00511128,   149.11
Line.LINHA213,    4.21477,   -26.34,    4.21461,  -146.34,    4.21462,    93.66,          0,     0.00, 0.00035369,   -30.74,    4.21513,   153.65,    4.21498,    33.65,    4.21498,   -86.35,          0,     0.00, 0.000338952,   149.26
Line.LINHA214,    4.21513,   -26.35,    4.21498,  -146.35,    4.21498,    93.65,          0,     0.00, 0.000338951,   -30.74,    4.21549,   153.64,    4.21534,    33.64,    4.21535,   -86.36,          0,     0.00, 0.000324213,   149.26
