Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2030", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2044", 13.8, 1,    7947.85,    0.0,   0.99754, 2,    7947.87, -120.0,   0.99754, 3,    7947.86,  120.0,   0.99754
"2057", 13.8, 1,    7943.14,    0.0,   0.99695, 2,    7943.16, -120.0,   0.99695, 3,    7943.15,  120.0,   0.99695
"2061", 13.8, 1,    7943.14,    0.0,   0.99695, 2,    7943.16, -120.0,   0.99695, 3,    7943.15,  120.0,   0.99695
"2065", 13.8, 1,    7938.45,    0.0,   0.99636, 2,    7938.47, -120.0,   0.99636, 3,    7938.46,  120.0,   0.99636
"2071", 13.8, 1,    7932.49,    0.0,   0.99561, 2,    7932.52, -120.0,   0.99562, 3,    7932.51,  120.0,   0.99562
"2076", 13.8, 1,    7932.41,    0.0,    0.9956, 2,    7932.44, -120.0,   0.99561, 3,    7932.43,  120.0,   0.99561
"2088", 13.8, 1,    7928.77,    0.0,   0.99515, 2,    7928.81, -120.0,   0.99515, 3,     7928.8,  120.0,   0.99515
"2091", 13.8, 1,    7928.72,    0.0,   0.99514, 2,    7928.76, -120.0,   0.99515, 3,    7928.75,  120.0,   0.99514
"2097", 13.8, 1,    7925.68,    0.0,   0.99476, 2,    7925.72, -120.0,   0.99476, 3,    7925.71,  120.0,   0.99476
"2098", 13.8, 1,    7924.64,    0.0,   0.99463, 2,    7924.67, -120.0,   0.99463, 3,    7924.66,  120.0,   0.99463
"2106", 13.8, 1,    7923.44,    0.0,   0.99448, 2,    7923.48, -120.0,   0.99448, 3,    7923.47,  120.0,   0.99448
"2113", 13.8, 1,     7920.3,    0.0,   0.99408, 2,    7920.35, -120.0,   0.99409, 3,    7920.33,  120.0,   0.99409
"2125", 13.8, 1,    7919.98,    0.0,   0.99404, 2,    7920.03, -120.0,   0.99405, 3,    7920.01,  120.0,   0.99405
"2127", 13.8, 1,    7920.17,    0.0,   0.99407, 2,    7920.21, -120.0,   0.99407, 3,     7920.2,  120.0,   0.99407
"2137", 13.8, 1,    7916.19,    0.0,   0.99357, 2,    7916.24, -120.0,   0.99357, 3,    7916.22,  120.0,   0.99357
"2141", 13.8, 1,    7916.16,    0.0,   0.99356, 2,     7916.2, -120.0,   0.99357, 3,    7916.19,  120.0,   0.99357
"2142", 13.8, 1,    7915.38,    0.0,   0.99347, 2,    7915.42, -120.0,   0.99347, 3,    7915.41,  120.0,   0.99347
"2148", 13.8, 1,    7911.52,    0.0,   0.99298, 2,    7911.57, -120.0,   0.99299, 3,    7911.55,  120.0,   0.99299
"2152", 13.8, 1,    7907.79,    0.0,   0.99251, 2,    7907.84, -120.0,   0.99252, 3,    7907.83,  120.0,   0.99252
"2159", 13.8, 1,     7905.8,    0.0,   0.99226, 2,    7905.86, -120.0,   0.99227, 3,    7905.84,  120.0,   0.99227
"2166", 13.8, 1,    7904.01,    0.0,   0.99204, 2,    7904.06, -120.0,   0.99205, 3,    7904.05,  120.0,   0.99204
"2168", 13.8, 1,     7902.4,    0.0,   0.99184, 2,    7902.46, -120.0,   0.99184, 3,    7902.44,  120.0,   0.99184
"2176", 13.8, 1,    7896.34,    0.0,   0.99108, 2,    7896.41, -120.0,   0.99109, 3,    7896.39,  120.0,   0.99108
"2184", 13.8, 1,     7893.8,    0.0,   0.99076, 2,    7893.87, -120.0,   0.99077, 3,    7893.85,  120.0,   0.99076
"2190", 13.8, 1,     7892.2,    0.0,   0.99056, 2,    7892.27, -120.0,   0.99057, 3,    7892.25,  120.0,   0.99056
"2193", 13.8, 1,    7890.75,    0.0,   0.99038, 2,    7890.82, -120.0,   0.99038, 3,     7890.8,  120.0,   0.99038
"2199", 13.8, 1,    7889.21,    0.0,   0.99018, 2,    7889.28, -120.0,   0.99019, 3,    7889.27,  120.0,   0.99019
"2200", 13.8, 1,    7888.59,    0.0,    0.9901, 2,    7888.66, -120.0,   0.99011, 3,    7888.64,  120.0,   0.99011
"2219", 13.8, 1,    7882.91,    0.0,   0.98939, 2,    7882.99, -120.0,    0.9894, 3,    7882.97,  120.0,    0.9894
"2231", 13.8, 1,    7882.72,    0.0,   0.98937, 2,     7882.8, -120.0,   0.98938, 3,    7882.78,  120.0,   0.98938
"2237", 13.8, 1,    7882.79,    0.0,   0.98938, 2,    7882.86, -120.0,   0.98939, 3,    7882.85,  120.0,   0.98938
"2241", 13.8, 1,    7882.65,    0.0,   0.98936, 2,    7882.72, -120.0,   0.98937, 3,    7882.71,  120.0,   0.98937
"2250", 13.8, 1,     7882.5,    0.0,   0.98934, 2,    7882.58, -120.0,   0.98935, 3,    7882.56,  120.0,   0.98935
"2253", 13.8, 1,    7882.42,    0.0,   0.98933, 2,    7882.49, -120.0,   0.98934, 3,    7882.48,  120.0,   0.98934
"2259", 13.8, 1,    7883.08,    0.0,   0.98941, 2,    7883.16, -120.0,   0.98942, 3,    7883.14,  120.0,   0.98942
"2261", 13.8, 1,    7882.85,    0.0,   0.98938, 2,    7882.92, -120.0,   0.98939, 3,    7882.91,  120.0,   0.98939
"2269", 13.8, 1,    7882.03,    0.0,   0.98928, 2,    7882.11, -120.0,   0.98929, 3,    7882.09,  120.0,   0.98929
"2274", 13.8, 1,    7881.91,    0.0,   0.98927, 2,    7881.99, -120.0,   0.98928, 3,    7881.97,  120.0,   0.98927
"2279", 13.8, 1,    7881.47,    0.0,   0.98921, 2,    7881.55, -120.0,   0.98922, 3,    7881.53,  120.0,   0.98922
"2286", 13.8, 1,    7881.04,    0.0,   0.98916, 2,    7881.12, -120.0,   0.98917, 3,    7881.11,  120.0,   0.98916
"2288", 13.8, 1,    7881.01,    0.0,   0.98915, 2,    7881.08, -120.0,   0.98916, 3,    7881.07,  120.0,   0.98916
"2290", 13.8, 1,    7881.12,    0.0,   0.98917, 2,     7881.2, -120.0,   0.98918, 3,    7881.18,  120.0,   0.98917
"2294", 13.8, 1,    7880.98,    0.0,   0.98915, 2,    7881.06, -120.0,   0.98916, 3,    7881.05,  120.0,   0.98916
"2296", 13.8, 1,    7880.98,    0.0,   0.98915, 2,    7881.05, -120.0,   0.98916, 3,    7881.04,  120.0,   0.98916
"2304", 13.8, 1,    7879.35,    0.0,   0.98895, 2,    7879.43, -120.0,   0.98896, 3,    7879.42,  120.0,   0.98895
"2306", 13.8, 1,    7879.39,    0.0,   0.98895, 2,    7879.47, -120.0,   0.98896, 3,    7879.45,  120.0,   0.98896
"2314", 13.8, 1,    7879.03,    0.0,    0.9889, 2,    7879.11, -120.0,   0.98891, 3,     7879.1,  120.0,   0.98891
"2318", 13.8, 1,    7878.84,    0.0,   0.98888, 2,    7878.92, -120.0,   0.98889, 3,     7878.9,  120.0,   0.98889
"2323", 13.8, 1,    7879.51,    0.0,   0.98896, 2,    7879.59, -120.0,   0.98897, 3,    7879.57,  120.0,   0.98897
"2327", 13.8, 1,    7877.69,    0.0,   0.98874, 2,    7877.77, -120.0,   0.98875, 3,    7877.76,  120.0,   0.98874
"2332", 13.8, 1,    7876.85,    0.0,   0.98863, 2,    7876.93, -120.0,   0.98864, 3,    7876.91,  120.0,   0.98864
"2337", 13.8, 1,    7876.48,    0.0,   0.98858, 2,    7876.56, -120.0,   0.98859, 3,    7876.55,  120.0,   0.98859
"2342", 13.8, 1,    7876.35,    0.0,   0.98857, 2,    7876.43, -120.0,   0.98858, 3,    7876.42,  120.0,   0.98858
"2347", 13.8, 1,     7876.3,    0.0,   0.98856, 2,    7876.38, -120.0,   0.98857, 3,    7876.36,  120.0,   0.98857
"2353", 13.8, 1,     7876.4,    0.0,   0.98857, 2,    7876.48, -120.0,   0.98858, 3,    7876.47,  120.0,   0.98858
"2354", 13.8, 1,    7876.39,    0.0,   0.98857, 2,    7876.47, -120.0,   0.98858, 3,    7876.45,  120.0,   0.98858
"2360", 13.8, 1,    7876.35,    0.0,   0.98857, 2,    7876.43, -120.0,   0.98858, 3,    7876.41,  120.0,   0.98858
"2001", 13.8, 1,    7962.75,    0.0,   0.99941, 2,    7962.75, -120.0,   0.99941, 3,    7962.75,  120.0,   0.99941
"2002", 13.8, 1,     7962.2,    0.0,   0.99934, 2,     7962.2, -120.0,   0.99934, 3,     7962.2,  120.0,   0.99934
"2003", 13.8, 1,    7961.65,    0.0,   0.99927, 2,    7961.66, -120.0,   0.99927, 3,    7961.65,  120.0,   0.99927
"2004", 13.8, 1,    7961.58,    0.0,   0.99927, 2,    7961.58, -120.0,   0.99927, 3,    7961.58,  120.0,   0.99927
"2005", 13.8, 1,    7961.03,    0.0,    0.9992, 2,    7961.04, -120.0,    0.9992, 3,    7961.03,  120.0,    0.9992
"2006", 13.8, 1,    7960.48,    0.0,   0.99913, 2,    7960.49, -120.0,   0.99913, 3,    7960.49,  120.0,   0.99913
"2007", 13.8, 1,    7959.94,    0.0,   0.99906, 2,    7959.94, -120.0,   0.99906, 3,    7959.94,  120.0,   0.99906
"2008", 13.8, 1,    7959.39,    0.0,   0.99899, 2,    7959.39, -120.0,   0.99899, 3,    7959.39,  120.0,   0.99899
"2009", 13.8, 1,    7958.84,    0.0,   0.99892, 2,    7958.85, -120.0,   0.99892, 3,    7958.84,  120.0,   0.99892
"2010", 13.8, 1,    7958.29,    0.0,   0.99885, 2,     7958.3, -120.0,   0.99885, 3,    7958.29,  120.0,   0.99885
"2011", 13.8, 1,    7957.75,    0.0,   0.99878, 2,    7957.75, -120.0,   0.99878, 3,    7957.75,  120.0,   0.99878
"2013", 13.8, 1,    7956.67,    0.1,   0.99865, 2,    7956.67, -119.9,   0.99865, 3,    7956.67,  120.1,   0.99865
"2014", 13.8, 1,    7957.39,    0.1,   0.99874, 2,     7957.4, -119.9,   0.99874, 3,    7957.39,  120.1,   0.99874
"2015", 13.8, 1,    7958.12,    0.1,   0.99883, 2,    7958.13, -119.9,   0.99883, 3,    7958.12,  120.1,   0.99883
"2016", 13.8, 1,    7958.85,    0.1,   0.99892, 2,    7958.85, -119.9,   0.99892, 3,    7958.85,  120.1,   0.99892
"2017", 13.8, 1,    7959.58,    0.1,   0.99901, 2,    7959.58, -119.9,   0.99901, 3,    7959.57,  120.1,   0.99901
"2019", 13.8, 1,    7961.05,    0.1,    0.9992, 2,    7961.05, -119.9,    0.9992, 3,    7961.04,  120.1,    0.9992
"2020", 13.8, 1,    7961.79,    0.1,   0.99929, 2,    7961.79, -119.9,   0.99929, 3,    7961.78,  120.1,   0.99929
"2021", 13.8, 1,    7962.53,    0.1,   0.99939, 2,    7962.54, -119.9,   0.99939, 3,    7962.53,  120.1,   0.99938
"2022", 13.8, 1,    7963.28,    0.1,   0.99948, 2,    7963.28, -119.9,   0.99948, 3,    7963.27,  120.1,   0.99948
"2023", 13.8, 1,    7964.02,    0.1,   0.99957, 2,    7964.02, -119.9,   0.99957, 3,    7964.01,  120.1,   0.99957
"2024", 13.8, 1,    7964.76,    0.1,   0.99967, 2,    7964.77, -119.9,   0.99967, 3,    7964.75,  120.1,   0.99966
"2025", 13.8, 1,    7965.51,    0.1,   0.99976, 2,    7965.51, -119.9,   0.99976, 3,     7965.5,  120.1,   0.99976
"2026", 13.8, 1,    7966.25,    0.1,   0.99985, 2,    7966.25, -119.9,   0.99985, 3,    7966.24,  120.1,   0.99985
"2027", 13.8, 1,       7967,    0.1,   0.99995, 2,       7967, -119.9,   0.99995, 3,    7966.98,  120.1,   0.99994
"2028", 13.8, 1,    7967.74,    0.1,         1, 2,    7967.74, -119.9,         1, 3,    7967.72,  120.1,         1
"2029", 13.8, 1,    7968.48,    0.1,    1.0001, 2,    7968.48, -119.9,    1.0001, 3,    7968.47,  120.1,    1.0001
"2031", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2032", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2033", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2034", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2035", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2036", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2037", 13.8, 1,    7969.23,    0.1,    1.0002, 2,    7969.23, -119.9,    1.0002, 3,    7969.21,  120.1,    1.0002
"2038", 13.8, 1,    7955.41,    0.1,   0.99849, 2,    7955.42, -119.9,   0.99849, 3,    7955.41,  120.1,   0.99849
"2039", 13.8, 1,    7954.15,    0.1,   0.99833, 2,    7954.16, -119.9,   0.99833, 3,    7954.15,  120.1,   0.99833
"2040", 13.8, 1,    7952.89,    0.1,   0.99817, 2,     7952.9, -120.0,   0.99818, 3,    7952.89,  120.0,   0.99817
