Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA201,    30.0195,   -77.29,    30.0163,   162.71,     30.019,    42.71,          0,     0.00, 0.00535816,   -30.61,    30.0203,   102.71,    30.0171,   -17.29,    30.0198,  -137.29,          0,     0.00, 0.00534333,   149.39
Line.LINHA202,    30.0203,   -77.29,    30.0171,   162.71,    30.0198,    42.71,          0,     0.00, 0.00534333,   -30.61,    30.0211,   102.71,    30.0179,   -17.29,    30.0206,  -137.29,          0,     0.00,  0.0053285,   149.39
Line.LINHA203,    30.0211,   -77.29,    30.0179,   162.71,    30.0206,    42.71,          0,     0.00,  0.0053285,   -30.61,    30.0212,   102.71,     30.018,   -17.29,    30.0208,  -137.29,          0,     0.00, 0.00532652,   149.39
Line.LINHA204,    30.0212,   -77.29,     30.018,   162.71,    30.0208,    42.71,          0,     0.00, 0.00532652,   -30.61,     30.022,   102.71,    30.0188,   -17.29,    30.0216,  -137.29,          0,     0.00, 0.00531169,   149.39
Line.LINHA205,     30.022,   -77.29,    30.0188,   162.71,    30.0216,    42.71,          0,     0.00, 0.00531169,   -30.61,    30.0228,   102.71,    30.0196,   -17.29,    30.0224,  -137.29,          0,     0.00, 0.00529686,   149.39
Line.LINHA206,    30.0228,   -77.29,    30.0196,   162.71,    30.0224,    42.71,          0,     0.00, 0.00529686,   -30.61,    30.0236,   102.71,    30.0205,   -17.29,    30.0232,  -137.29,          0,     0.00, 0.00528203,   149.39
Line.LINHA207,    30.0236,   -77.29,    30.0205,   162.71,    30.0232,    42.71,          0,     0.00, 0.00528203,   -30.61,    30.0244,   102.71,    30.0213,   -17.29,     30.024,  -137.29,          0,     0.00, 0.00526721,   149.39
Line.LINHA208,    30.0244,   -77.29,    30.0213,   162.71,     30.024,    42.71,          0,     0.00, 0.00526721,   -30.61,    30.0252,   102.71,    30.0221,   -17.29,    30.0248,  -137.29,          0,     0.00, 0.00525238,   149.39
Line.LINHA209,    30.0252,   -77.29,    30.0221,   162.71,    30.0248,    42.71,          0,     0.00, 0.00525238,   -30.61,     30.026,   102.71,    30.0229,   -17.29,    30.0256,  -137.29,          0,     0.00, 0.00523756,   149.39
Line.LINHA210,     30.026,   -77.29,    30.0229,   162.71,    30.0256,    42.71,          0,     0.00, 0.00523756,   -30.61,    30.0268,   102.71,    30.0237,   -17.29,    30.0264,  -137.29,          0,     0.00, 0.00522273,   149.39
Line.LINHA211,    30.0268,   -77.29,    30.0237,   162.71,    30.0264,    42.71,          0,     0.00, 0.00522273,   -30.61,    30.0277,   102.71,    30.0245,   -17.29,    30.0272,  -137.29,          0,     0.00, 0.00520791,   149.39
